Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,state Code,state name
Puducherry,1,Ve. VAITHILINGAM,Indian National Congress,Dr. NARAYANASAMY KESAVAN,All India N.R. Congress,197025,Result Declared,U07,Puducherry
Lakshadweep,1,MOHAMMED FAIZAL PP,Nationalist Congress Party,HAMDULLAH SAYEED,Indian National Congress,823,Result Declared,U06,Lakshadweep
CHANDNI CHOWK,1,HARSH VARDHAN,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,228145,Result Declared,U05,Delhi
EAST DELHI,3,GAUTAM GAMBHIR,Bharatiya Janata Party,ARVINDER SINGH LOVELY,Indian National Congress,391222,Result Declared,U05,Delhi
NEW DELHI,4,MEENAKASHI LEKHI,Bharatiya Janata Party,AJAY MAKAN,Indian National Congress,256504,Result Declared,U05,Delhi
NORTH EAST DELHI,2,MANOJ TIWARI,Bharatiya Janata Party,SHEILA DIKSHIT,Indian National Congress,366102,Result Declared,U05,Delhi
NORTH WEST DELHI,5,HANS RAJ HANS,Bharatiya Janata Party,GUGAN SINGH,Aam Aadmi Party,553897,Result Declared,U05,Delhi
SOUTH DELHI,7,RAMESH BIDHURI,Bharatiya Janata Party,RAGHAV CHADHA,Aam Aadmi Party,367043,Result Declared,U05,Delhi
WEST DELHI,6,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,MAHABAL MISHRA,Indian National Congress,578486,Result Declared,U05,Delhi
Daman & diu,1,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,KETAN DAHYABHAI PATEL,Indian National Congress,9942,Result Declared,U04,Daman & Diu
Dadar & Nagar Haveli,1,DELKAR MOHANBHAI SANJIBHAI,Independent,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,9001,Result Declared,U03,Dadra & Nagar Haveli
CHANDIGARH,1,KIRRON KHER,Bharatiya Janata Party,PAWAN KUMAR BANSAL,Indian National Congress,46970,Result Declared,U02,Chandigarh
Andaman & Nicobar Islands,1,KULDEEP RAI SHARMA,Indian National Congress,VISHAL JOLLY,Bharatiya Janata Party,1407,Result Declared,U01,Andaman & Nicobar Islands
Adilabad,1,SOYAM BAPU RAO,Bharatiya Janata Party,Godam Nagesh,Telangana Rashtra Samithi,58560,Result Declared,S29,Telangana
Bhongir,14,Komat,Indian National Congress,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,5219,Result Declared,S29,Telangana
CHELVELLA,10,Dr. G. Ranj,Telangana Rashtra Samithi,Konda Vishweshwar Reddy,Indian National Congress,14317,Result Declared,S29,Telangana
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,Dr. BHAGAVANTH RAO,Bharatiya Janata Party,282186,Result Declared,S29,Telangana
Karimnagar,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,BOIANAPALLI VINOD KUMAR,Telangana Rashtra Samithi,89508,Result Declared,S29,Telangana
Khammam,17,NAMA NAGESWR RAO,Telangana Rashtra Samithi,RENUKA CHOWDHURY,Indian National Congress,168062,Result Declared,S29,Telangana
Mahabubabad,16,Kav,Telangana Rashtra Samithi,Balaram Naik Porika,Indian National Congress,146663,Result Declared,S29,Telangana
Mahbubnagar,11,MANNE SRINIVAS REDDY,Telangana Rashtra Samithi,ARUNA D.K,Bharatiya Janata Party,77829,Result Declared,S29,Telangana
Malkajgiri,7,ANUMULA REVANTH REDDY,Indian National Congress,RAJASHEKAR REDDY MARRI,Telangana Rashtra Samithi,10919,Result Declared,S29,Telangana
Medak,6,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,Anil Kumar Gali,Indian National Congress,316427,Result Declared,S29,Telangana
Nagarkurnool,12,POTHUGANTI RAMULU,Telangana Rashtra Samithi,DR MALLU RAVI,Indian National Congress,189748,Result Declared,S29,Telangana
Nalgonda,13,UTTAM KUMAR REDDY NALAMADA,Indian National Congress,VEMIREDDY NARASIMHA REDDY,Telangana Rashtra Samithi,25682,Result Declared,S29,Telangana
Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,70875,Result Declared,S29,Telangana
Peddapalle,2,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,Agam Chandrasekhar,Indian National Congress,95180,Result Declared,S29,Telangana
Secundrabad,8,G . KISHAN REDDY,Bharatiya Janata Party,TALASANI SAI KIRAN YADAV,Telangana Rashtra Samithi,62114,Result Declared,S29,Telangana
Warangal,15,DAYAKAR PASUNOORI,Telangana Rashtra Samithi,DOMMATI SAMBAIAH,Indian National Congress,350298,Result Declared,S29,Telangana
Zahirabad,5,B.B.PATIL,Telangana Rashtra Samithi,MADAN MOHAN RAO,Indian National Congress,6229,Result Declared,S29,Telangana
Almora,3,Ajay Tamta,Bharatiya Janata Party,Pradeep Tamta,Indian National Congress,232986,Result Declared,S28,Uttarakhand
Garhwal,2,T,Bharatiya Janata Party,Manish Khanduri,Indian National Congress,302669,Result Declared,S28,Uttarakhand
Hardwar,5,Ramesh Pokhr,Bharatiya Janata Party,Ambrish Kumar,Indian National Congress,258729,Result Declared,S28,Uttarakhand
Nainital-udhamsingh Nagar,4,Ajay Bhatt,Bharatiya Janata Party,Harish Rawat,Indian National Congress,339096,Result Declared,S28,Uttarakhand
